# 战斗调参表（combat_tuning）。把 GameConfig 中散落的战斗硬编码常量收编进表，改数值不用改代码。
# 缺表 / key 缺失 / 构造期读表被拒时，运行时回退 GameConfig 默认值，行为与原硬编码完全一致，可随时回退。
key,value,comment
BOSS_PHASE2_HP_RATIO,0.7,Boss 二阶段触发血量比例（当前/最大≤此值则换招）
BOSS_PHASE2_DAMAGE_MUL,1.18,Boss 二阶段伤害倍率
BOSS_PHASE2_RADIUS_MUL,1.35,Boss 二阶段红圈/扇形预警半径倍率
BOSS_PHASE2_TELEGRAPH,2.2,Boss 二阶段预警时长
ELITE_TANK_HP_MUL,1.1,精英血厚档血量倍率
ELITE_TANK_ATK_MUL,0.92,精英血厚档攻击倍率
ELITE_TANK_TELEGRAPH,3.2,精英血厚档预警时长
ELITE_GLASS_HP_MUL,0.75,精英血薄档血量倍率
ELITE_GLASS_ATK_MUL,1.35,精英血薄档攻击倍率
ELITE_GLASS_TELEGRAPH,2.0,精英血薄档预警时长
GUILD_SCALE_PER,0.02,公会等级系数（0.02×公会等级）
# ---- 波次节奏（WavePlanner；只调波数与每波人数，不改敌人数值） ----
AFFIX_SECOND_FROM_CHAPTER,4,精英/Boss 词缀：第几章开始有几率出 2 个词缀
AFFIX_SECOND_CHANCE,0.3,精英/Boss 词缀：出第 2 个词缀的概率
PRESSURE_ENABLED,1,压力阀总开关（1=开 0=关；关掉后波数完全由模式表决定）
PRESSURE_STREAK_THRESHOLD,2,连续 N 关「无死亡且血量>PRESSURE_HP_RATIO」后下一关波数 +1
PRESSURE_WAVE_CAP,2,加压上限：最多额外加几波
PRESSURE_MERCY_ON_DEATH,1,上一关死亡过 → 下一关波数 −1（1=开 0=关）
PRESSURE_HP_RATIO,0.70,判定「轻松通关」的血量线
MODE_HANDICAP_BY_JOB,1,职业×模式矩阵标高时该关波数 −1（1=开 0=关）
CHAPTER_COUNT_STEP,0.03,每章每波人数递增步长（第 1 章 1.00 → 第 8 章 1.21）
STAGE_COUNT_STEP,0.05,章内每关每波人数递增步长（第 1 关 1.00 → 第 10 关 1.45）
COUNT_JITTER_MIN,0.85,每波人数随机浮动下限
COUNT_JITTER_MAX,1.15,每波人数随机浮动上限
# ---- Boss / 精英 TTK 与成长 ----
ELITE_TTK_HP_MUL,1.15,精英额外 TTK 血量倍率（叠在章节系数上）
BOSS_TTK_HP_MUL,1.35,Boss 额外 TTK 血量倍率
BOSS_TTK_ATK_MUL,1.35,Boss 额外 TTK 攻击倍率（剧情 Boss 想更狠请改 monster_stats.baseAtk，不要堆这里）
ELITE_HP_FROM_CHAPTER_AVG,2.6,精英血量 = 本章普通怪平均 baseHp × 本值
ELITE_ATK_FROM_CHAPTER_AVG,1.6,精英攻击 = 本章普通怪平均 baseAttack × 本值
# ---- Boss / 精英 预警与震屏 ----
BOSS_PHASE1_TELEGRAPH,3,Boss 一阶段技能预警时长
BOSS_PHASE_SHIFT_TELEGRAPH,2.5,Boss 阶段切换预警时长
BOSS_SKILL_RELEASE_SHAKE_AMP,0.18,Boss 技能释放震屏幅度
BOSS_SKILL_RELEASE_SHAKE_DUR,0.26,Boss 技能释放震屏时长
ELITE_SKILL_RELEASE_SHAKE_AMP,0.12,精英技能释放震屏幅度
ELITE_SKILL_RELEASE_SHAKE_DUR,0.20,精英技能释放震屏时长
# ---- Boss 狂暴 ----
BOSS_ENRAGE_ENABLED,1,Boss 狂暴总开关（1=开 0=关）
BOSS_ENRAGE_MIN_CHAPTER,5,狂暴起始章节（含）
BOSS_ENRAGE_HP_RATIO,0.40,触发狂暴的血量阈值（当前/最大 ≤ 此值）
BOSS_ENRAGE_ATK_SPEED_MUL,1.5,狂暴攻速倍率（>1 更快，攻击间隔 ÷本值）
# ---- 怪物技能 ----
MONSTER_NORMAL_SKILL_DAMAGE_MUL,0.55,普通远程小怪技能伤害折扣
MONSTER_SKILL_PROJECTILE_SPEED_MUL,0.138,怪物技能弹道速度倍率（勿随意改快）
# ---- 精英 / Boss 体型倍率 ----
ELITE_SCALE_MULTIPLIER,1.3,精英体型倍率（相对普通怪）
BOSS_SCALE_MULTIPLIER,1.6,Boss 体型倍率（相对普通怪）
