# category ceilings aligned to equip_attr_ranges (starter=70% common mid~8)
category,anchorTemplateId,rarity,attrType,value,isPercent,isAnchor
MainHandWeapon,equip_sword_1,Common,Attack,15,0,1
MainHandWeapon,equip_sword_1,Rare,Attack,40,0,1
MainHandWeapon,equip_sword_1,Legendary,Attack,80,0,1
MainHandWeapon,equip_training_sword,Common,Attack,8,0,1
OffHandWeapon,equip_offhand_sword_1,Common,Attack,12,0,1
OffHandWeapon,equip_offhand_sword_1,Rare,Attack,34,0,1
OffHandWeapon,equip_offhand_sword_1,Legendary,Attack,68,0,1
OffHandWeapon,equip_offhand_axe_1,Common,Attack,12,0,1
Shield,equip_woodshield1,Common,Defense,12,0,1
Shield,equip_woodshield1,Rare,Defense,30,0,1
Shield,equip_woodshield1,Legendary,Defense,60,0,1
TwoHandBow,equip_bow_1,Common,Attack,15,0,1
TwoHandBow,equip_bow_1,Rare,Attack,40,0,1
TwoHandBow,equip_bow_1,Legendary,Attack,80,0,1
Head,equip_helmet_1,Common,Defense,12,0,1
Chest,equip_armor_1,Common,Defense,12,0,1
Hands,equip_hands_001,Common,MaxHp,80,0,1
Feet,equip_feet_001,Common,MoveSpeed,0.06,1,1
Cape,equip_cape_001,Common,MaxHp,80,0,1
