外观资源ID,资源类型,资源名称,适用部位,可复用装备ID列表,美术风格,备注,spumName
IMG_W_01,武器,单手剑外观A,主手,W101|W103|W105,金属质感,剑盾卫士主手剑通用,Sword_1
IMG_W_02,武器,圆盾外观A,副手,W102|W104,木质+金属,剑盾卫士副手盾通用,New_Shield_01
IMG_W_03,武器,重剑外观A,双手,W105|W304,厚重金属,剑盾卫士/狂战士双手剑复用,Sword_1
IMG_W_04,武器,巨锤外观A,双手,W201|W203,粗犷铁匠风,重武者双手锤通用,F_SR_Hammer
IMG_W_05,武器,战斧外观A,双手,W202|W204,锋利斧刃,重武者双手斧通用,Axe_1
IMG_W_06,武器,双刀外观A,主手/副手,W301|W302|W303,轻便双刃,狂战士双刀通用,Sword_1
IMG_W_07,武器,长弓外观A,双手,W401|W403|W404,木质长弓,游侠长弓通用,Bow_1
IMG_W_08,武器,弩外观A,双手,W405,机械结构,游侠弩专用,Bow_1
IMG_W_09,武器,法杖外观A,双手,W501|W502|W503,木质法杖,法师法杖通用,New_Weapon_06
IMG_W_10,武器,魔导书外观A,双手,W504,漂浮书页,法师魔导书专用,New_Weapon_06
IMG_W_11,武器,权杖外观A,双手,W601|W602|W603,神圣权杖,牧师权杖通用,New_Weapon_06
IMG_H_01,防具,布帽外观A,头,H001|H004,朴素布帽,法师/牧师帽子复用,F_SR_Helmet
IMG_H_02,防具,头盔外观A,头,H002|H003|H005,金属头盔,物理职业头盔通用,F_SR_Helmet
IMG_C_01,防具,布衣外观A,胸,C001,轻便布衣,全职业通用,Armor_1
IMG_C_02,防具,皮甲外观A,胸,C002|C003,皮革护甲,全职业通用,Armor_1
IMG_C_03,防具,板甲外观A,胸,C004|C005,厚重板甲,物理职业胸甲通用,Armor_1
IMG_G_01,防具,手套外观A,手,G001|G002|G003|G006,皮质手套,全职业通用,New_Cloth_01
IMG_G_02,防具,护手外观A,手,G004|G005|G007,金属护手,物理职业手套通用,New_Cloth_01
IMG_B_01,防具,布鞋外观A,脚,B001|B002,轻便布鞋,全职业通用,Foot_1
IMG_B_02,防具,战靴外观A,脚,B003|B004|B005|B006,金属战靴,全职业通用,Foot_1
