部位ID,部位名称,主属性池（按权重）,必带主属性数量,随机属性池（按权重）,随机属性条数（普通/稀有/传奇）,适用职业,备注
HEAD,头,生命:40|防御:35|抗暴:15|攻击:10,1,生命:20|防御:20|抗暴:15|减伤:15|攻击:10|暴击率:10|元素伤害:10,0/1/2,全职业,头盔/帽子/头饰类
CHEST,胸,生命:50|防御:40|减伤:10,1,生命:25|防御:25|减伤:20|受控减免:15|攻击:10|生命回复:5,0/1/2,全职业,胸甲/长袍/护甲类
HAND,手,攻击:45|暴击率:25|攻速:20|元素伤害:10,1,攻击:25|暴击率:20|暴击伤害:20|攻速:15|射程:10|元素伤害:10,0/1/2,全职业,手套/护手/护腕类
FOOT,脚,移速:60|防御:25|闪避:15,1,移速:30|防御:20|闪避:20|攻速:15|暴击率:10|生命:5,0/1/2,全职业,鞋子/战靴/皮靴类
WEAPON_SWORD,剑盾武器,攻击:70|防御:30,1,攻击:20|防御:20|生命:15|暴击率:10|减伤:10|受控减免:10|嘲讽强化:10|反弹伤害:5,0/1/2,剑盾卫士,单手剑/盾/双手剑共用
WEAPON_HEAVY,重武武器,攻击:100,1,攻击:30|眩晕强化:20|破甲:15|生命:15|防御:15|暴击伤害:10|范围伤害:10,0/1/2,重武者,巨锤/战斧共用
WEAPON_DUAL,狂战武器,攻击:100,1,攻击:30|攻速:25|暴击率:15|暴击伤害:15|生命偷取:15|低血增伤:10|击退:10,0/1/2,狂战士,双刀/双手大剑共用
WEAPON_BOW,游侠武器,攻击:100,1,攻击:30|射程:20|暴击率:15|攻速:15|暴击伤害:10|穿透:10|中毒:10,0/1/2,游侠,长弓/弩共用
WEAPON_STAFF,法师武器,攻击:100,1,攻击:30|元素伤害:30|暴击伤害:15|静止增伤:15|弹射:10|点燃:10|减速:10,0/1/2,法师,法杖/魔导书共用
WEAPON_MACE,牧师武器,攻击:100,1,攻击:25|治疗强化:35|生命:15|防御:10|攻速:10|净化:10|光环强化:10,0/1/2,牧师,权杖/圣典共用
