# 佣兵花名册：抽自 MercRosterDefs 硬编码数组（2026-09-19）。
# MoveSpeed 为相对值（基准 3.5），战斗换算见 MercRosterDefs.ApplyCombatStats：world = BASE_MOVE_SPEED × (MoveSpeed / 3.5)。
# 佣兵按职业分档，与玩家 player_job_base_stats 同一套档位；本表数值已含「全体移速减半」（= 玩家表列 ÷ 100 × 3.5）。
HireId,Name,Nickname,AssetId,JobName,Rarity,Growth,BaseHp,BaseAtk,BaseDef,AtkSpeed,MoveSpeed,ActiveSkillId,PassiveSkillId,RecruitGold,InInitialPool,SoldInShop
H001,马库斯,老盾,dunbing101,剑盾卫士,0,1.00,110,9,15,0.90,1.575,,SK006,0,1,1
H002,洛恩,铁皮,dunbing102,剑盾卫士,1,1.15,120,11,17.5,0.95,1.575,SK007,,1500,0,0
H003,塔克,重盾,dunbing201,剑盾卫士,1,1.15,140,10,20,0.80,1.575,SK008,,1800,0,0
H004,维克,钢盾,dunbing202,剑盾卫士,2,1.30,150,14,24,1.00,1.575,SK010,SK009,5000,0,0
H005,米娅,小红,gongshou101,游侠,0,1.00,60,16,6,1.50,2.10,,SK002,500,0,1
H006,希尔,鹰眼,gongshou201,游侠,1,1.15,67.5,19,7,1.40,2.10,SK001,,2000,0,0
H007,布罗克,大锤,kuangzhan101,狂战士,0,1.00,90,17.5,9,1.00,2.015,,SK002,600,1,1
H008,古恩,斩铁,kuangzhan102,狂战士,1,1.15,100,21,10,0.95,2.015,SK003,,1600,0,0
H009,莫丁,碎岩,kuangzhan201,狂战士,1,1.15,110,20,12,1.00,2.015,SK001,,1900,0,0
H010,凯恩,狂牙,kuangzhan202,狂战士,2,1.30,125,25,11,1.10,2.015,SK005,SK012,6000,0,0
H011,索菲,小白,naima101,牧师,0,1.00,50,7.5,5,1.20,1.75,SK004,SK011,500,1,1
H012,塞拉,小蓝,naima102,水系法师,1,1.15,55,14,10,1.00,1.75,SK004,,1700,0,0
H013,莫娜,紫晶,naima201,雷系法师,1,1.15,60,15,12,1.00,1.75,SK013,,2000,0,0
H014,伊芙,火舞,naima202,火系法师,2,1.30,62.5,24,6,1.20,1.75,SK020,SK019,8000,0,0
H015,艾拉,风羽,gongshou101,游侠,0,1.00,57.5,15,5,1.60,2.10,,SK002,500,0,1
H016,杜娅,怒角,kuangzhan201,狂战士,1,1.15,100,20,10,0.95,2.015,SK003,,1600,0,0
H017,莉娜,圣光,naima102,牧师,1,1.15,55,9,6,1.20,1.75,SK004,,1700,0,0
H018,布朗,铁壁,dunbing101,剑盾卫士,0,1.00,105,8.5,14,0.85,1.575,,SK006,700,0,1
H019,艾琳,星火,fashi101,法师,0,1.00,52.5,17,4,1.35,1.75,,SK017,600,1,1
H020,凯尔,谜面,fashi102,法师,1,1.15,57.5,21,5,1.30,1.75,SK018,,1800,0,0
H021,格拉克斯,懒鬼,zhongzhan101,重武者,0,1.00,115,10,13,0.80,1.40,,SK002,800,0,1
H022,索尔,铁面,zhongzhan201,重武者,1,1.15,130,13,16,0.85,1.40,SK003,,2200,0,0
