技能ID,图标位置,技能名称,类型分类,技能稀有度,主动/被动,适用佣兵稀有度,触发方式,目标类型,招募界面说明,效果描述,数值公式,冷却(s),持续时间(s),作用范围,程序资源名,代码枚举,图标文件,备注
SK001,红1,疾风斩,物攻,普通,主动,普通及以上,自动释放,敌方单体,对敌方单体造成伤害,对单个敌人造成物理伤害,攻击 × 150%,6,—,单体,icon_skill_ji_feng_zhan,SKILL_JiFengZhan,SK001.png,瞬间伤害
SK002,红2,撕裂,物攻,普通,被动,普通及以上,攻击触发,敌方单体,普攻有概率使目标流血,普通攻击有 30% 几率使目标流血，3 秒内持续造成物理伤害,每秒攻击 × 25%,—,3,单体,icon_skill_si_lie,SKILL_SiLie,SK002.png,流血可叠加 2 层
SK003,红3,横扫千军,物攻,稀有,主动,稀有及以上,自动释放,敌方前排,对前方多个敌人造成伤害,对前方扇形范围内最多 3 个敌人造成物理伤害,攻击 × 120%,8,—,前方 120° 扇形,icon_skill_heng_sao_qian_jun,SKILL_HengSaoQianJun,SK003.png,
SK004,红4,狂怒,物攻,稀有,被动,稀有及以上,生命触发,自身,生命较低时提升攻击力,生命低于 50% 时，攻击力提升,攻击 +25%,—,—,自身,icon_skill_kuang_nu,SKILL_KuangNu,SK004.png,触发后持续到战斗结束或生命恢复至 50% 以上
SK005,红5,烈焰斩,物攻,传奇,主动,传奇,自动释放,敌方单体及周围,对目标造成高额火焰伤害并溅射,对目标造成火焰伤害，并对目标周围小范围造成溅射伤害,主目标攻击 × 220% + 溅射攻击 × 80%,12,—,单体 + 溅射,icon_skill_lie_yan_zhan,SKILL_LieYanZhan,SK005.png,传奇绝技；溅射半径约 60px
SK006,黄1,格挡,防御,普通,被动,普通及以上,受击触发,自身,有概率减少受到的伤害,受到攻击时有 20% 几率减少所受伤害,受到伤害 -30%,—,—,自身,icon_skill_ge_dang,SKILL_GeDang,SK006.png,
SK007,黄2,坚守,防御,普通,主动,普通及以上,自动释放,自身,提升防御并吸引敌人,提升自身防御并嘲讽附近敌人,防御 +35%,15,5,自身,icon_skill_jian_shou,SKILL_JianShou,SK007.png,若项目无嘲讽机制，仅保留防御提升
SK008,黄3,圣光庇护,防御,稀有,主动,稀有及以上,自动释放,我方全体,为我方全体附加护盾,为全体队友附加护盾,生命上限 × 10%,20,6,全体,icon_skill_sheng_guang_bi_hu,SKILL_ShengGuangBiHu,SK008.png,护盾不叠加，新护盾覆盖旧护盾
SK009,黄4,钢铁意志,防御,稀有,被动,稀有及以上,生命触发,自身,生命危急时大幅减伤,生命低于 30% 时，受到的伤害大幅降低,受到伤害 -40%,30,5,自身,icon_skill_gang_tie_yi_zhi,SKILL_GangTieYiZhi,SK009.png,每次战斗最多触发 1 次，可配置
SK010,黄5,神圣庇佑,防御,传奇,主动,传奇,自动释放,我方全体,全体短暂无敌并恢复生命,全体队友获得短暂无敌，并恢复少量生命,无敌 1.5 秒 + 攻击 × 50% 治疗,40,1.5,全体,icon_skill_shen_sheng_bi_you,SKILL_ShenShengBiYou,SK010.png,传奇保命技；无敌时间很短
