# 怪物攻击方式 + 物理/魔法随机概率表（可改）
# monsterChapter = 素材章(=游戏章)：1 Forest … 4 Field … 5 Sea … 8 Ice
# spriteIndex = 1~10 普通/精英；11/12 是 Boss
# style = Melee 近战刀光 | Bow 弓箭（抛物线箭矢） | Ranged 法球（直线法术，也可写 Orb/Magic）
# magicChance = 该只怪被判定为「魔法型」的概率(0~1)：0=必物理，1=必魔法，0.33≈1/3 魔法。
#   运行时读 Resources/Data/Tables/monster_attack_style.bytes（由本 csv Cook 而来），
#   改完本 csv 后必须重跑 Tools/Data/Cook Tables 才会生效，光保存不够。
# 2026-09-26 主人拍板：物理/魔法怪按 magicChance 随机参杂（不再写死名单）；Boss 同走掷骰，每次生成重掷→反复刷会变。
#   粒度：按章给一个占比（本表按行存储，普通怪随章节递增，Boss 固定 0.5 保证最大变数）。想单独调某只怪，直接改那行的 magicChance 即可。
# 魔法型判定出来的怪：_attackStyle 强制改 Ranged（法球弹道+魔法伤害），物理型保持 style 原值。
monsterChapter,spriteIndex,style,magicChance,note
1,1,Ranged,0.33,Forest-01
1,2,Bow,0.33,Forest-02
1,3,Melee,0.33,Forest-03
1,4,Ranged,0.33,Forest-04
1,5,Melee,0.33,Forest-05
1,6,Bow,0.33,Forest-06
1,7,Melee,0.33,Forest-07
1,8,Ranged,0.33,Forest-08
1,9,Melee,0.33,Forest-09
1,10,Melee,0.33,Forest-10
1,11,Ranged,0.50,Forest-BossA
1,12,Melee,0.50,Forest-BossB
2,1,Bow,0.33,Undead-01
2,2,Melee,0.33,Undead-02
2,3,Ranged,0.33,Undead-03
2,4,Melee,0.33,Undead-04
2,5,Melee,0.33,Undead-05
2,6,Ranged,0.33,Undead-06
2,7,Melee,0.33,Undead-07
2,8,Bow,0.33,Undead-08
2,9,Melee,0.33,Undead-09
2,10,Ranged,0.33,Undead-10
2,11,Melee,0.50,Undead-BossA
2,12,Ranged,0.50,Undead-BossB
3,1,Ranged,0.33,Jungle-01
3,2,Bow,0.33,Jungle-02
3,3,Melee,0.33,Jungle-03
3,4,Melee,0.33,Jungle-04
3,5,Ranged,0.33,Jungle-05
3,6,Bow,0.33,Jungle-06
3,7,Ranged,0.33,Jungle-07
3,8,Melee,0.33,Jungle-08
3,9,Melee,0.33,Jungle-09
3,10,Bow,0.33,Jungle-10
3,11,Ranged,0.50,Jungle-BossA
3,12,Melee,0.50,Jungle-BossB
4,1,Ranged,0.40,Field-01
4,2,Bow,0.40,Field-02
4,3,Ranged,0.40,Field-03
4,4,Melee,0.40,Field-04
4,5,Bow,0.40,Field-05
4,6,Melee,0.40,Field-06
4,7,Ranged,0.40,Field-07
4,8,Melee,0.40,Field-08
4,9,Melee,0.40,Field-09
4,10,Bow,0.40,Field-10
4,11,Melee,0.50,Field-BossA
4,12,Ranged,0.50,Field-BossB
5,1,Melee,0.40,Sea-01
5,2,Bow,0.40,Sea-02
5,3,Melee,0.40,Sea-03
5,4,Ranged,0.40,Sea-04
5,5,Melee,0.40,Sea-05
5,6,Melee,0.40,Sea-06
5,7,Ranged,0.40,Sea-07
5,8,Bow,0.40,Sea-08
5,9,Melee,0.40,Sea-09
5,10,Ranged,0.40,Sea-10
5,11,Ranged,0.50,Sea-BossA
5,12,Melee,0.50,Sea-BossB
6,1,Ranged,0.40,Cave-01
6,2,Melee,0.40,Cave-02
6,3,Bow,0.40,Cave-03
6,4,Ranged,0.40,Cave-04
6,5,Melee,0.40,Cave-05
6,6,Melee,0.40,Cave-06
6,7,Bow,0.40,Cave-07
6,8,Ranged,0.40,Cave-08
6,9,Melee,0.40,Cave-09
6,10,Bow,0.40,Cave-10
6,11,Melee,0.50,Cave-BossA
6,12,Ranged,0.50,Cave-BossB
7,1,Ranged,0.50,Devil-01
7,2,Melee,0.50,Devil-02
7,3,Bow,0.50,Devil-03
7,4,Melee,0.50,Devil-04
7,5,Ranged,0.50,Devil-05
7,6,Melee,0.50,Devil-06
7,7,Melee,0.50,Devil-07
7,8,Bow,0.50,Devil-08
7,9,Ranged,0.50,Devil-09
7,10,Bow,0.50,Devil-10
7,11,Ranged,0.50,Devil-BossA
7,12,Melee,0.50,Devil-BossB
8,1,Melee,0.50,Ice-01
8,2,Bow,0.50,Ice-02
8,3,Ranged,0.50,Ice-03
8,4,Melee,0.50,Ice-04
8,5,Bow,0.50,Ice-05
8,6,Melee,0.50,Ice-06
8,7,Ranged,0.50,Ice-07
8,8,Melee,0.50,Ice-08
8,9,Ranged,0.50,Ice-09
8,10,Melee,0.50,Ice-10
8,11,Melee,0.50,Ice-BossA
8,12,Ranged,0.50,Ice-BossB
