spriteId,texW,texH,centerNX,centerNY,boxNW,boxNH
undead_101,32,32,0.5,0.2344,0.3438,0.5
undead_102,32,32,0.4844,0.25,0.5,0.5312
undead_103,32,32,0.4844,0.2812,0.6875,0.5938
undead_104,32,32,0.5,0.2812,0.7188,0.5938
undead_105,32,32,0.4844,0.2656,0.6875,0.5625
undead_106,32,32,0.5,0.4219,0.6562,0.875
undead_107,32,32,0.4844,0.2656,0.5,0.5625
undead_108,32,32,0.4844,0.3125,0.625,0.6562
undead_109,32,32,0.5,0.2812,0.5938,0.5938
undead_110,32,32,0.4844,0.3906,0.8125,0.8125
undead_111,32,32,0.5,0.4375,0.6562,0.9062
undead_112,32,32,0.5,0.4062,0.9062,0.8438
jungle_201,32,32,0.5,0.1719,0.4062,0.375
jungle_202,32,32,0.5,0.2031,0.4688,0.4375
jungle_203,32,32,0.5,0.1875,0.4062,0.4062
jungle_204,32,32,0.5,0.2344,0.5312,0.5
jungle_205,32,32,0.5,0.2656,0.4688,0.5625
jungle_206,32,32,0.4844,0.2812,0.4375,0.5938
jungle_207,32,32,0.5,0.3438,0.4688,0.7188
jungle_208,32,32,0.5,0.2344,0.7188,0.5
jungle_209,32,32,0.5,0.2344,0.7188,0.5
jungle_210,32,32,0.4844,0.25,0.6875,0.5312
jungle_211,32,32,0.4844,0.375,0.75,0.7812
jungle_212,32,32,0.4844,0.4375,0.75,0.9062
sea_301,32,32,0.4844,0.2188,0.5625,0.4688
sea_302,32,32,0.5,0.2188,0.6562,0.4688
sea_303,32,32,0.5,0.2344,0.5938,0.5
sea_304,32,32,0.5,0.3594,0.6562,0.75
sea_305,32,32,0.5,0.2969,0.4688,0.625
sea_306,32,32,0.5,0.2188,0.5938,0.4688
sea_307,32,32,0.5,0.3438,0.5312,0.7188
sea_308,32,32,0.4844,0.3281,0.5625,0.6875
sea_309,32,32,0.4844,0.375,0.625,0.7812
sea_310,32,32,0.5,0.3281,0.5938,0.6875
sea_311,32,32,0.5,0.3594,0.7188,0.75
sea_312,32,32,0.4844,0.3594,0.75,0.75
forest_401,32,32,0.4844,0.1875,0.3125,0.4062
forest_402,32,32,0.4844,0.2188,0.4375,0.4688
forest_403,32,32,0.5,0.1719,0.5312,0.375
forest_404,32,32,0.5,0.2188,0.5312,0.4688
forest_405,32,32,0.5,0.1875,0.6562,0.4062
forest_406,32,32,0.4844,0.25,0.5,0.5312
forest_407,32,32,0.4844,0.2344,0.5,0.5
forest_408,32,32,0.5,0.2656,0.4688,0.5625
forest_409,32,32,0.4844,0.2969,0.625,0.625
forest_410,32,32,0.5,0.2812,0.8438,0.5938
forest_411,32,32,0.5,0.3281,0.7188,0.6875
forest_412,32,32,0.5,0.3906,0.7188,0.8125
field_501,32,32,0.4844,0.1406,0.4375,0.3125
field_502,32,32,0.4844,0.1875,0.4375,0.4062
field_503,32,32,0.5,0.2344,0.4688,0.5
field_504,32,32,0.5,0.1875,0.6562,0.4062
field_505,32,32,0.5,0.2188,0.4688,0.4688
field_506,32,32,0.4844,0.2656,0.5625,0.5625
field_507,32,32,0.4844,0.3125,0.625,0.6562
field_508,32,32,0.4844,0.375,0.5,0.7812
field_509,32,32,0.4844,0.3125,0.625,0.6562
field_510,32,32,0.4844,0.2812,0.75,0.5938
field_511,32,32,0.4844,0.3281,0.875,0.6875
field_512,32,32,0.4844,0.3438,0.875,0.7188
cave_601,32,32,0.4844,0.1719,0.4375,0.375
cave_602,32,32,0.5,0.2031,0.4062,0.4375
cave_603,32,32,0.4844,0.1875,0.5,0.4062
cave_604,32,32,0.5,0.25,0.5938,0.5312
cave_605,32,32,0.5,0.25,0.5312,0.5312
cave_606,32,32,0.4844,0.2812,0.5625,0.5938
cave_607,32,32,0.5,0.2656,0.4688,0.5625
cave_608,32,32,0.5,0.3281,0.5938,0.6875
cave_609,32,32,0.5,0.2969,0.7188,0.625
cave_610,32,32,0.5,0.2656,0.7812,0.5625
cave_611,32,32,0.4844,0.3906,0.75,0.8125
cave_612,32,32,0.4844,0.3906,1.0,0.8125
devil_701,32,32,0.5,0.1406,0.3438,0.3125
devil_702,32,32,0.5,0.25,0.5312,0.5312
devil_703,32,32,0.4844,0.2656,0.5,0.5625
devil_704,32,32,0.4844,0.25,0.625,0.5312
devil_705,32,32,0.4844,0.2812,0.625,0.5938
devil_706,32,32,0.4844,0.2656,0.5625,0.5625
devil_707,32,32,0.4844,0.2969,0.625,0.625
devil_708,32,32,0.4844,0.2969,0.625,0.625
devil_709,32,32,0.4844,0.3438,0.625,0.7188
devil_710,32,32,0.5,0.3438,0.6562,0.7188
devil_711,32,32,0.5,0.4375,0.8438,0.9062
devil_712,32,32,0.4844,0.375,0.8125,0.7812
ice_801,32,32,0.5,0.1875,0.4062,0.4062
ice_802,32,32,0.4844,0.2031,0.4375,0.4375
ice_803,32,32,0.4844,0.3281,0.4375,0.6875
ice_804,32,32,0.4844,0.3125,0.5,0.6562
ice_805,32,32,0.4844,0.2969,0.625,0.625
ice_806,32,32,0.5,0.3125,0.6562,0.6562
ice_807,32,32,0.4844,0.2656,0.75,0.5625
ice_808,32,32,0.5,0.3125,0.7188,0.6562
ice_809,32,32,0.4844,0.3438,0.625,0.7188
ice_810,32,32,0.5,0.2656,0.7812,0.5625
ice_811,32,32,0.4844,0.3125,0.875,0.6562
ice_812,32,32,0.5,0.4062,0.7812,0.8438
