# monster_stats：怪物数值与出场（monsterChapter=素材章 1~8）
id,monsterChapter,spriteIndex,name,minWave,isBoss,unlockClearCount,baseHp,baseAtk,baseAtkSpeed,attackRange,moveSpeed,baseGold,exp,spriteScale,baseMagAtk,baseMagDef,note
undead_201,2,1,骷髅兵,0,0,0,28.2,4.8,1.5,1.5,1.1,1,5,1.0,4.8,,Undead-01
undead_202,2,2,腐骨射手,0,0,0,40.8,4,1.5,1.5,1.1,2,7,1.0,4,,Undead-02
undead_203,2,3,怨灵祭司,1,0,0,40.8,4,1.5,1.5,1.1,2,9,1.0,4,,Undead-03
undead_204,2,4,墓王残骸,9,0,0,78.0,5.0,1.5,1.5,1.1,2,11,1.5,5.0,,Undead-04
undead_205,2,5,Undead 05,2,0,0,33.6,3.6,1.5,1.5,1.1,2,6,1.0,3.6,,Undead-05
undead_206,2,6,Undead 06,2,0,2,20.7,4.7,1.5,1.5,1.1,2,6,1.0,4.7,,Undead-06
undead_207,2,7,Undead 07,2,0,2,33.6,3.6,1.5,1.5,1.1,2,6,1.0,3.6,,Undead-07
undead_208,2,8,Undead 08,2,0,2,23.3,4.3,1.5,1.5,1.1,2,6,1.0,4.3,,Undead-08
undead_209,2,9,Undead 09,2,0,4,33.6,3.6,1.5,1.5,1.1,2,6,1.0,3.6,,Undead-09
undead_210,2,10,Undead 10,2,0,4,20.7,4.7,1.5,1.5,1.1,2,6,1.0,4.7,,Undead-10
undead_211,2,11,Undead BossA,9,1,0,1275,28,1.0,4.0,0.9,20,100,1.0,28,,Undead-BossA
undead_212,2,12,Undead BossB,9,1,0,1725,30,1.0,4.0,0.9,20,100,1.0,30,,Undead-BossB
jungle_301,3,1,藤蔓狼崽,0,0,0,53.1,4.8,1.5,1.5,1.1,2,8,1.0,4.8,,Jungle-01
jungle_302,3,2,秘境毒蛛,0,0,0,36.8,5.8,1.5,1.5,1.1,2,10,1.0,5.8,,Jungle-02
jungle_303,3,3,翡翠蛮兵,1,0,0,53.1,4.8,1.5,1.5,1.1,3,12,1.0,4.8,,Jungle-03
jungle_304,3,4,孢子蝠,9,0,0,101.5,6.0,1.5,1.5,1.1,3,14,1.5,6.0,,Jungle-04
jungle_305,3,5,Jungle 05,2,0,0,27,5.7,1.5,1.5,1.1,2,7,1.0,5.7,,Jungle-05
jungle_306,3,6,Jungle 06,2,0,2,30.4,5.2,1.5,1.5,1.1,2,7,1.0,5.2,,Jungle-06
