# 关卡模式 V3.0：每关进战前抽 1 个模式，模式只定义「原型池 / 波数范围 / 人数倍率」，
#               具体的每一波在池里按权重现抽 —— 关卡可以重复，波次永不重复。
#
# 抽签规则：命中 chapter（* 通配，4+ 表示第 4 章起）+ stageType + 关卡索引 ≥ minStage 的候选，
#           模式之间等权重抽取，**允许与上一关重复**（想提高某模式出现率就在表里多写一行）。
#           没有任何候选行时，WavePlanner 回退到旧的「均分波次」逻辑——缺表不会让关卡开不起来。
#
# Boss 关不配行：继续走现有 SetupBossWave 逻辑（小怪波 + Boss 本体），风险最低。
#
# pool            = 原型池，格式「原型id:权重」，| 分隔（id 来自 wave_archetype.csv）
# waveMin/waveMax = 本关波数范围（含两端，实际还会被压力阀 / 职业补偿修正）
# countMul        = 每波人数倍率，叠在「章节系数 × 关卡进度系数」上
# minStage        = 该模式最早的关卡索引（0 基）；第 1 关只放 M01，教学期不上强度
chapter,stageType,mode,name,pool,waveMin,waveMax,countMul,minStage,telegraph,note
*,Normal,M01,车轮战,A02:6|A01:3|A06:1,4,6,1.00,0,敌人一波接一波,近战为主，稳定节奏
*,Normal,M02,箭雨压制,A03:5|A02:2|A06:2,4,5,1.00,1,远程很多,考验切入，近战职业吃紧
*,Normal,M03,夹缝,A04:5|A02:3|A06:2,4,5,0.95,1,两侧都有敌人,唯一真正压缩空间的模式
*,Normal,M04,虫潮,A05:5|A02:3|A01:2,3,4,1.25,2,数量很多,别被围住
*,Normal,M05,铁壁,A06:6|A02:3|A04:1,3,4,0.90,2,精英很多,先清随从
*,Normal,M06,分裂巢,A07:5|A02:3|A04:2,4,5,1.00,2,会分裂的东西,注意集火顺序
*,Normal,M07,混编,A02:4|A04:3|A03:3|A06:2|A05:2|A07:2,4,6,1.00,3,什么都有,随机应变
*,Normal,M08,精英前哨,A06:7|A04:2|A05:1,3,4,0.90,5,波波都有精英,章末向，最硬
4+,Normal,M09,重甲突击,A06:5|A05:3|A04:2,4,5,1.10,2,重甲压上来了,第4章起解锁
7+,Normal,M10,终末潮,A05:4|A07:3|A04:3,5,6,1.20,3,挡不住的数量,第7章起解锁
*,Elite,M03,夹缝,A04:5|A06:3|A02:2,4,5,0.95,1,两侧都有敌人,精英版夹缝
*,Elite,M04,虫潮,A05:5|A02:3|A06:2,3,4,1.25,2,数量很多,精英版虫潮
*,Elite,M05,铁壁,A06:6|A04:2|A02:2,3,4,0.90,2,精英很多,三精英连发
*,Elite,M08,精英前哨,A06:7|A04:2|A05:1,3,4,0.90,3,波波都有精英,最硬
4+,Elite,M09,重甲突击,A06:5|A05:3|A04:2,4,5,1.10,2,重甲压上来了,第4章起解锁
7+,Elite,M10,终末潮,A05:4|A07:3|A04:3,5,6,1.20,3,挡不住的数量,第7章起解锁
