# 怪物攻击方式对照表（可改）
# monsterChapter = 怪物素材章节号（1 Undead … 8 Ice），不是游戏章节
# spriteIndex = 1~10 普通/精英；11/12 是 Boss（另算：近战+远程两种都会用，表内 style 仅作偏好）
# style = Melee 近战刀光 | Bow 弓箭（抛物线箭矢） | Ranged 法球（直线法术，也可写 Orb/Magic）
# 想让某只怪变弓箭手，把它那行改成 Bow 即可
# 改完保存即可，进战斗会重新读
monsterChapter,spriteIndex,style,note
1,1,Bow,Undead-01
1,2,Melee,Undead-02
1,3,Melee,Undead-03
1,4,Melee,Undead-04
1,5,Melee,Undead-05
1,6,Ranged,Undead-06
1,7,Melee,Undead-07
1,8,Bow,Undead-08
1,9,Melee,Undead-09
1,10,Ranged,Undead-10
1,11,Bow,Undead-BossA
1,12,Melee,Undead-BossB
2,1,Melee,Jungle-01
2,2,Bow,Jungle-02
2,3,Melee,Jungle-03
2,4,Melee,Jungle-04
2,5,Ranged,Jungle-05
2,6,Bow,Jungle-06
2,7,Ranged,Jungle-07
2,8,Melee,Jungle-08
2,9,Melee,Jungle-09
2,10,Bow,Jungle-10
2,11,Melee,Jungle-BossA
2,12,Ranged,Jungle-BossB
3,1,Melee,Sea-01
3,2,Bow,Sea-02
3,3,Melee,Sea-03
3,4,Ranged,Sea-04
3,5,Melee,Sea-05
3,6,Melee,Sea-06
3,7,Melee,Sea-07
3,8,Bow,Sea-08
3,9,Melee,Sea-09
3,10,Melee,Sea-10
3,11,Ranged,Sea-BossA
3,12,Bow,Sea-BossB
4,1,Melee,Forest-01
4,2,Bow,Forest-02
4,3,Melee,Forest-03
4,4,Ranged,Forest-04
4,5,Melee,Forest-05
4,6,Bow,Forest-06
4,7,Melee,Forest-07
4,8,Ranged,Forest-08
4,9,Melee,Forest-09
4,10,Melee,Forest-10
4,11,Bow,Forest-BossA
4,12,Melee,Forest-BossB
5,1,Melee,Field-01
5,2,Bow,Field-02
5,3,Ranged,Field-03
5,4,Melee,Field-04
5,5,Bow,Field-05
5,6,Melee,Field-06
5,7,Ranged,Field-07
5,8,Melee,Field-08
5,9,Melee,Field-09
5,10,Bow,Field-10
5,11,Melee,Field-BossA
5,12,Melee,Field-BossB
6,1,Melee,Cave-01
6,2,Melee,Cave-02
6,3,Bow,Cave-03
6,4,Ranged,Cave-04
6,5,Melee,Cave-05
6,6,Melee,Cave-06
6,7,Bow,Cave-07
6,8,Ranged,Cave-08
6,9,Melee,Cave-09
6,10,Bow,Cave-10
6,11,Melee,Cave-BossA
6,12,Ranged,Cave-BossB
7,1,Melee,Devil-01
7,2,Melee,Devil-02
7,3,Bow,Devil-03
7,4,Melee,Devil-04
7,5,Ranged,Devil-05
7,6,Melee,Devil-06
7,7,Melee,Devil-07
7,8,Bow,Devil-08
7,9,Ranged,Devil-09
7,10,Bow,Devil-10
7,11,Melee,Devil-BossA
7,12,Ranged,Devil-BossB
8,1,Melee,Ice-01
8,2,Bow,Ice-02
8,3,Ranged,Ice-03
8,4,Melee,Ice-04
8,5,Bow,Ice-05
8,6,Melee,Ice-06
8,7,Melee,Ice-07
8,8,Melee,Ice-08
8,9,Ranged,Ice-09
8,10,Melee,Ice-10
8,11,Melee,Ice-BossA
8,12,Bow,Ice-BossB
