skillId,etfxSource,resourcesPath,depsRoot
ally_heal,Combat/Magic/Nova/MagicNovaGreen.prefab,VFX/Skills/Ally/ally_heal,VFX/Skills/_Deps
ally_atk_up,Combat/Magic/Buff/MagicBuffYellow.prefab,VFX/Skills/Ally/ally_atk_up,VFX/Skills/_Deps
ally_atk_speed,Combat/Magic/Charge/MagicChargeYellow.prefab,VFX/Skills/Ally/ally_atk_speed,VFX/Skills/_Deps
ally_crit_up,Combat/Magic/Enchant/MagicEnchantYellow.prefab,VFX/Skills/Ally/ally_crit_up,VFX/Skills/_Deps
ally_thunder,Combat/Explosions/LightningExplosion/LightningExplosionYellow.prefab,VFX/Skills/Ally/ally_thunder,VFX/Skills/_Deps
ally_shield,Combat/Magic/Shield/ShieldYellow.prefab,VFX/Skills/Ally/ally_shield,VFX/Skills/_Deps
mon_slam_multi,Combat/Brawling/Soft/SoftBodySlam.prefab,VFX/Skills/Monster/mon_slam_multi,VFX/Skills/_Deps
mon_magic_burst,Combat/Explosions/MagicExplosion/MagicExplosionPink.prefab,VFX/Skills/Monster/mon_magic_burst,VFX/Skills/_Deps
SK001,Combat/Brawling/Soft/SoftPunchMedium.prefab,VFX/Skills/Merc/SK001,VFX/Skills/_Deps
SK003,Combat/Brawling/Soft/SoftFightAction2.prefab,VFX/Skills/Merc/SK003,VFX/Skills/_Deps
SK005,Combat/Explosions/FireballExplosion/ExplosionFireballFire.prefab,VFX/Skills/Merc/SK005,VFX/Skills/_Deps
SK007,Combat/Magic/Aura/MagicAuraBlue.prefab,VFX/Skills/Merc/SK007,VFX/Skills/_Deps
SK008,Combat/Magic/Shield/ShieldYellow.prefab,VFX/Skills/Merc/SK008,VFX/Skills/_Deps
SK010,Combat/Magic/Field/MagicFieldWhite.prefab,VFX/Skills/Merc/SK010,VFX/Skills/_Deps
SK011,Combat/Magic/Nova/MagicNovaGreen.prefab,VFX/Skills/Merc/SK011,VFX/Skills/_Deps
SK013,Combat/Explosions/MagicSoftExplosion/MagicSoftExplosionYellow.prefab,VFX/Skills/Merc/SK013,VFX/Skills/_Deps
SK015,Combat/Magic/Field/MagicFieldGreen.prefab,VFX/Skills/Merc/SK015,VFX/Skills/_Deps
SK016,Combat/Explosions/MagicExplosion/MagicExplosionBlue.prefab,VFX/Skills/Merc/SK016,VFX/Skills/_Deps
SK018,Combat/Brawling/StunnedCirclingStars.prefab,VFX/Skills/Merc/SK018,VFX/Skills/_Deps
SK020,Combat/Explosions/SoulExplosion/SoulExplosionPurple.prefab,VFX/Skills/Merc/SK020,VFX/Skills/_Deps
SK002,Combat/Blood/Red/BloodSplatDirectional.prefab,VFX/Skills/Merc/SK002,VFX/Skills/_Deps
SK004,Combat/Magic/Buff/MagicBuffYellow.prefab,VFX/Skills/Merc/SK004,VFX/Skills/_Deps
SK006,Combat/Explosions/- Misc/MetalHit.prefab,VFX/Skills/Merc/SK006,VFX/Skills/_Deps
SK009,Combat/Magic/Shield/ShieldBlue.prefab,VFX/Skills/Merc/SK009,VFX/Skills/_Deps
SK012,Combat/Magic/Aura/MagicAuraGreen.prefab,VFX/Skills/Merc/SK012,VFX/Skills/_Deps
SK014,Combat/Magic/Enchant/MagicEnchantGreen.prefab,VFX/Skills/Merc/SK014,VFX/Skills/_Deps
SK017,Combat/Magic/Charge/MagicChargeBlue.prefab,VFX/Skills/Merc/SK017,VFX/Skills/_Deps
SK019,Combat/Magic/Sphere/MagicSphereYellow.prefab,VFX/Skills/Merc/SK019,VFX/Skills/_Deps
